Date,Price_beef_infl,Price_rice_infl,Price_coffee_infl
2065-12-01,9.31,0.86,5.86
2066-01-01,9.32,0.86,5.86
2066-02-01,9.33,0.86,5.87
2066-03-01,9.33,0.86,5.87
2066-04-01,9.34,0.86,5.87
2066-05-01,9.35,0.86,5.88
2066-06-01,9.36,0.86,5.88
2066-07-01,9.36,0.86,5.88
2066-08-01,9.37,0.86,5.89
2066-09-01,9.38,0.86,5.89
2066-10-01,9.39,0.86,5.89
2066-11-01,9.39,0.86,5.89
2066-12-01,9.40,0.86,5.90
2067-01-01,9.41,0.87,5.90
2067-02-01,9.42,0.87,5.90
2067-03-01,9.43,0.87,5.91
2067-04-01,9.43,0.87,5.91
2067-05-01,9.44,0.87,5.91
2067-06-01,9.45,0.87,5.92
2067-07-01,9.46,0.87,5.92
2067-08-01,9.46,0.87,5.92
2067-09-01,9.47,0.87,5.93
2067-10-01,9.48,0.87,5.93
2067-11-01,9.49,0.87,5.93
2067-12-01,9.49,0.87,5.93
2068-01-01,9.50,0.87,5.94
2068-02-01,9.51,0.87,5.94
2068-03-01,9.52,0.87,5.94
2068-04-01,9.53,0.87,5.95
2068-05-01,9.53,0.87,5.95
2068-06-01,9.54,0.87,5.95
2068-07-01,9.55,0.87,5.96
2068-08-01,9.56,0.87,5.96
2068-09-01,9.56,0.88,5.96
2068-10-01,9.57,0.88,5.97
2068-11-01,9.58,0.88,5.97
2068-12-01,9.59,0.88,5.97
2069-01-01,9.60,0.88,5.97
2069-02-01,9.60,0.88,5.98
2069-03-01,9.61,0.88,5.98
2069-04-01,9.62,0.88,5.98
2069-05-01,9.63,0.88,5.99
2069-06-01,9.63,0.88,5.99
2069-07-01,9.64,0.88,5.99
2069-08-01,9.65,0.88,6.00
2069-09-01,9.66,0.88,6.00
2069-10-01,9.66,0.88,6.00
2069-11-01,9.67,0.88,6.01
2069-12-01,9.68,0.88,6.01
2070-01-01,9.69,0.88,6.01
2070-02-01,9.70,0.88,6.01
2070-03-01,9.70,0.88,6.02
2070-04-01,9.71,0.89,6.02
